Valor,Histo,HistoEc 
0,0,0 
1,0,9795 
2,0,9611 
3,0,9978 
4,1,11192 
5,0,11114 
6,5,8894 
7,10,11524 
8,32,9690 
9,51,10861 
10,104,11997 
11,196,9360 
12,217,11654 
13,261,7310 
14,351,12314 
15,563,9331 
16,888,11294 
17,825,5716 
18,722,16264 
19,680,6847 
20,1055,13827 
21,1193,5081 
22,1317,7679 
23,1324,17750 
24,1490,8324 
25,1682,8126 
26,2054,8431 
27,2134,17731 
28,2251,9758 
29,1910,5867 
30,2268,8501 
31,2886,9822 
32,2914,10435 
33,2314,11111 
34,1530,10834 
35,2157,11250 
36,2606,11403 
37,2585,11641 
38,2637,12900 
39,2908,0 
40,2821,15830 
41,2748,13264 
42,2756,7449 
43,2842,10893 
44,3296,15238 
45,3423,0 
46,2598,19840 
47,2636,7772 
48,2867,10173 
49,2312,13097 
50,3226,13695 
51,1820,0 
52,2332,13948 
53,2741,13769 
54,2691,13990 
55,2687,0 
56,2742,14456 
57,2936,15960 
58,2976,0 
59,3096,15095 
60,2989,14934 
61,3079,15082 
62,3151,0 
63,3130,16287 
64,3504,0 
65,4452,20113 
66,3698,0 
67,3778,21108 
68,3532,9292 
69,4109,14543 
70,3673,0 
71,4532,18761 
72,3713,0 
73,5618,23471 
74,5117,0 
75,2493,17277 
76,3684,10187 
77,5716,15623 
78,7479,0 
79,4216,0 
80,4569,23016 
81,6847,0 
82,8585,28022 
83,5242,13542 
84,5081,0 
85,7679,12260 
86,9984,17797 
87,7766,0 
88,8324,0 
89,8126,23984 
90,8431,0 
91,9188,0 
92,8543,31405 
93,9758,12114 
94,5867,14693 
95,8501,0 
96,9822,19163 
97,10435,0 
98,11111,19897 
99,10834,0 
100,11250,20872 
101,11403,0 
102,11641,23405 
103,12900,0 
104,15830,22114 
105,13264,0 
106,7449,20932 
107,10893,0 
108,15238,20578 
109,19840,0 
110,7772,20968 
111,10173,0 
112,13097,22340 
113,13695,0 
114,13948,0 
115,13769,23828 
116,13990,0 
117,14456,21922 
118,15960,0 
119,15095,22241 
120,14934,0 
121,15082,28174 
122,16287,0 
123,20113,0 
124,21108,31629 
125,9292,0 
126,14543,12904 
127,18761,17278 
128,23471,0 
129,17277,21665 
130,10187,0 
131,15623,0 
132,23016,28215 
133,28022,0 
134,13542,0 
135,12260,31255 
136,17797,12743 
137,23984,0 
138,31405,17068 
139,12114,0 
140,14693,20998 
141,19163,0 
142,19897,0 
143,20872,27245 
144,23405,0 
145,22114,0 
146,20932,31757 
147,20578,12633 
148,20968,15777 
149,22340,0 
150,23828,19639 
151,21922,0 
152,22241,0 
153,28174,25647 
154,31629,0 
155,12904,0 
156,17278,32854 
157,21665,12213 
158,28215,13182 
159,31255,0 
160,12743,17691 
161,17068,0 
162,20998,20044 
163,27245,0 
164,31757,22979 
165,12633,0 
166,15777,19257 
167,19639,17681 
168,25647,0 
169,32854,18318 
170,12213,0 
171,13182,21143 
172,17691,0 
173,20044,21434 
174,22979,0 
175,19257,0 
176,17681,24831 
177,18318,19946 
178,21143,9101 
179,21434,0 
180,24831,15916 
181,19946,0 
182,9101,17308 
183,15916,0 
184,17308,21149 
185,21149,0 
186,23257,23257 
187,9346,9346 
188,11179,11179 
189,14020,14020 
190,18078,0 
191,26567,18078 
192,9307,0 
193,6983,26567 
194,12322,9307 
195,18497,6983 
196,19959,12322 
197,12419,0 
198,6039,18497 
199,12657,0 
200,13039,19959 
201,15943,18458 
202,20007,0 
203,15135,12657 
204,10078,13039 
205,6375,15943 
206,3973,0 
207,10618,20007 
208,14148,0 
209,11643,15135 
210,5029,16453 
211,7772,3973 
212,8192,10618 
213,8871,14148 
214,12019,11643 
215,12360,12801 
216,8171,8192 
217,3774,8871 
218,7814,12019 
219,10122,12360 
220,8246,11945 
221,3345,7814 
222,4872,10122 
223,5338,11591 
224,6029,10210 
225,7258,6029 
226,7785,15043 
227,7454,7454 
228,5693,12325 
229,2289,12111 
230,4343,10468 
231,6574,7551 
232,2582,11649 
233,2955,8341 
234,4205,13993 
235,6263,9813 
236,7551,12806 
237,6308,0 
238,5341,13489 
239,4659,0 
240,1983,27951 
241,1699,0 
242,6052,0 
243,7941,26178 
244,6750,0 
245,3063,23381 
246,5582,12131 
247,7224,0 
248,13489,0 
249,27951,25446 
250,26178,0 
251,23381,0 
252,12131,32028 
253,25446,0 
254,32028,0 
255,29168,29168 
