Valor,Histo,HistoEc 
0,0,0 
1,0,85566 
2,0,0 
3,356,0 
4,85210,0 
5,1559729,0 
6,891855,0 
7,1462006,0 
8,677297,0 
9,964688,0 
10,834984,0 
11,285434,0 
12,584685,0 
13,252969,0 
14,560872,0 
15,240656,0 
16,431680,0 
17,147150,0 
18,332750,0 
19,229293,0 
20,342248,1559729 
21,363596,0 
22,152322,0 
23,363309,0 
24,300365,0 
25,263037,0 
26,278357,0 
27,274207,0 
28,49063,0 
29,386011,0 
30,163554,891855 
31,285964,0 
32,422559,0 
33,154591,0 
34,285776,0 
35,159686,0 
36,273569,0 
37,184510,0 
38,353514,0 
39,197986,0 
40,297641,0 
41,166357,0 
42,216267,0 
43,161795,0 
44,169547,0 
45,352856,0 
46,224473,0 
47,270422,1462006 
48,88158,0 
49,267998,0 
50,189803,0 
51,165833,0 
52,142599,0 
53,241363,0 
54,165179,0 
55,117359,677297 
56,194440,0 
57,24195,0 
58,254234,0 
59,93429,0 
60,72409,0 
61,27903,0 
62,93797,0 
63,79650,0 
64,71114,0 
65,152957,0 
66,22485,964688 
67,118045,0 
68,35050,0 
69,109243,0 
70,18507,0 
71,77227,0 
72,61820,0 
73,61447,0 
74,62964,0 
75,61300,0 
76,45234,834984 
77,41474,0 
78,41054,0 
79,49236,285434 
80,36962,0 
81,36298,0 
82,35061,0 
83,10198,0 
84,39391,0 
85,10982,0 
86,32738,584685 
87,36218,0 
88,40811,0 
89,44896,252969 
90,36381,0 
91,32094,0 
92,15150,0 
93,40687,0 
94,80987,0 
95,48393,560872 
96,21381,0 
97,58737,0 
98,214242,240656 
99,114750,0 
100,74026,0 
101,31141,0 
102,66578,0 
103,163469,431680 
104,31939,0 
105,13866,147150 
106,30596,0 
107,40463,0 
108,44614,0 
109,22000,332750 
110,9040,0 
111,18200,0 
112,25024,229293 
113,3530,0 
114,3077,0 
115,16098,342248 
116,7477,0 
117,15663,0 
118,19821,0 
119,21132,0 
120,13068,363596 
121,6128,152322 
122,10033,0 
123,5779,0 
124,17522,0 
125,19356,0 
126,13552,363309 
127,6954,0 
128,13550,0 
129,4052,300365 
130,19822,0 
131,14551,0 
132,11578,263037 
133,4313,0 
134,17807,0 
135,10765,0 
136,4419,278357 
137,7200,0 
138,4296,0 
139,10123,323270 
140,2722,0 
141,11585,0 
142,8309,0 
143,7057,0 
144,1732,386011 
145,7754,0 
146,2248,163554 
147,3773,0 
148,1161,0 
149,1048,285964 
150,3529,0 
151,1990,0 
152,5559,0 
153,3413,0 
154,1216,422559 
155,2010,0 
156,1124,154591 
157,2858,0 
158,673,0 
159,1113,285776 
160,487,0 
161,76,159686 
162,73,0 
163,20,0 
164,28,273569 
165,6,0 
166,0,184510 
167,0,0 
168,0,0 
169,0,0 
170,0,353514 
171,0,0 
172,0,0 
173,0,197986 
174,0,0 
175,0,0 
176,0,297641 
177,0,0 
178,0,166357 
179,0,0 
180,0,0 
181,0,216267 
182,0,161795 
183,0,0 
184,0,169547 
185,0,0 
186,0,0 
187,0,0 
188,0,0 
189,0,352856 
190,0,0 
191,0,224473 
192,0,0 
193,0,0 
194,0,270422 
195,0,88158 
196,0,0 
197,0,0 
198,0,267998 
199,0,0 
200,0,0 
201,0,189803 
202,0,0 
203,0,165833 
204,0,142599 
205,0,0 
206,0,0 
207,0,241363 
208,0,0 
209,0,165179 
210,0,117359 
211,0,0 
212,0,0 
213,0,218635 
214,0,0 
215,0,0 
216,0,254234 
217,0,93429 
218,0,100312 
219,0,93797 
220,0,79650 
221,0,71114 
222,0,0 
223,0,175442 
224,0,118045 
225,0,35050 
226,0,127750 
227,0,77227 
228,0,61820 
229,0,124411 
230,0,61300 
231,0,127762 
232,0,86198 
233,0,81557 
234,0,83111 
235,0,77029 
236,0,81277 
237,0,87931 
238,0,80987 
239,0,69774 
240,0,58737 
241,0,0 
242,0,214242 
243,0,0 
244,0,188776 
245,0,31141 
246,0,66578 
247,0,163469 
248,0,76401 
249,0,85077 
250,0,96969 
251,0,83289 
252,0,90798 
253,0,90455 
254,0,85977 
255,0,6 
